first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Viktor,Gyökeres,2.2,Chelsea,Away,374.0,0.36818181818181817,0.12754010695187165,0.5462566844919786,3.5398395721925127,3.1283422459893044,0.24064171122994651,0.0,0.24064171122994651,0.48128342245989303,0.48128342245989303,0.0,0.0,0.7219251336898395,2.406417112299465,0.24064171122994651,3.368983957219251,0.0,0.0,0.0,0.24064171122994651,0.0
Ollie,Watkins,1.5,Wolves,Home,365.0,0.11095890410958904,0.034520547945205475,1.287123287671233,2.5200000000000005,2.219178082191781,0.0,0.0,0.24657534246575344,0.9863013698630138,0.0,0.0,0.0,0.24657534246575344,2.712328767123288,0.4931506849315069,3.452054794520548,0.0,0.0,0.0,0.0,0.0
Zian,Flemming,5.2,Brentford,Away,160.0,0.50625,0.022500000000000003,2.12625,4.905,10.125,1.6875,0.0,0.0,1.6875,1.6875,0.0,0.0,2.8125,2.25,1.125,6.1875,0.0,0.0,0.0,0.5625,0.0
Lyle,Foster,2.0,Brentford,Away,310.0,0.26419354838709674,0.026129032258064518,2.3487096774193548,2.586774193548387,3.193548387096774,0.29032258064516125,0.0,0.0,3.193548387096774,0.29032258064516125,0.0,0.0,1.4516129032258063,1.7419354838709677,0.29032258064516125,3.4838709677419355,0.0,0.0,0.0,0.5806451612903225,0.0
Francisco Evanilson,de Lima Barbosa,2.0,Sunderland,Away,364.0,0.26456043956043956,0.05934065934065934,1.3796703296703297,3.2142857142857144,3.4615384615384617,0.24725274725274726,0.0,0.24725274725274726,2.2252747252747254,0.4945054945054945,0.0,0.0,1.7307692307692308,1.978021978021978,0.0,3.708791208791209,0.0,0.0,0.0,0.24725274725274726,0.0
Junior,Kroupi,2.8,Sunderland,Away,162.0,0.7944444444444444,0.03888888888888888,2.911111111111111,6.072222222222222,8.333333333333334,1.1111111111111112,0.0,0.0,3.888888888888889,1.1111111111111112,0.0,0.0,2.7777777777777777,2.7777777777777777,0.5555555555555556,6.111111111111111,0.0,0.0,0.0,0.0,0.0
Igor Thiago,Nascimento Rodrigues,6.0,Burnley,Home,424.0,0.5879716981132075,0.04245283018867925,1.0209905660377359,4.60188679245283,4.669811320754717,0.6367924528301887,0.0,0.2122641509433962,1.910377358490566,0.6367924528301887,0.0,0.0,2.547169811320755,2.759433962264151,1.0613207547169812,6.367924528301887,0.0,0.0,0.2122641509433962,0.2122641509433962,0.0
Danny,Welbeck,5.5,Nott'm Forest,Away,353.0,0.26770538243626063,0.02804532577903683,1.035127478753541,3.4495750708215303,5.609065155807365,0.764872521246459,0.0,0.254957507082153,1.7847025495750708,0.764872521246459,0.0,0.0,2.039660056657224,1.529745042492918,0.764872521246459,4.334277620396601,0.0,0.0,0.0,0.509915014164306,0.0
João Pedro,Junqueira de Jesus,4.8,Arsenal,Home,423.0,0.47872340425531923,0.10851063829787234,1.1425531914893616,5.006382978723404,4.468085106382978,0.2127659574468085,0.2127659574468085,0.6382978723404255,0.6382978723404255,1.0638297872340425,0.0,0.0,1.4893617021276595,3.404255319148936,0.851063829787234,5.74468085106383,0.0,0.0,0.0,0.2127659574468085,0.0
Liam,Delap,1.0,Arsenal,Home,127.0,0.09921259842519685,0.04251968503937007,0.3188976377952756,3.359055118110236,2.8346456692913384,0.0,0.0,0.7086614173228346,0.7086614173228346,0.0,0.0,0.0,0.7086614173228346,2.8346456692913384,0.0,3.543307086614173,0.0,0.0,0.0,0.0,0.0
