first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Kai,Havertz,1.0,Man City,Away,270.0,0.42333333333333334,0.03,0.7466666666666667,3.783333333333333,3.6666666666666665,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,5.333333333333333,0.0,0.0,0.0,0.0,0.0
Gabriel,Fernando de Jesus,1.0,Man City,Away,200.0,0.3015,0.072,0.46349999999999997,0.972,1.7999999999999998,0.0,0.0,0.0,1.3499999999999999,0.0,0.0,0.0,0.44999999999999996,4.95,0.0,5.3999999999999995,0.0,0.0,0.0,0.44999999999999996,0.0
Viktor,Gyökeres,5.0,Man City,Away,342.0,0.6236842105263158,0.11578947368421053,0.9421052631578948,5.473684210526316,7.36842105263158,1.0526315789473684,0.0,0.0,1.0526315789473684,1.3157894736842106,0.0,0.0,0.5263157894736842,3.1578947368421053,0.2631578947368421,3.947368421052632,0.0,0.0,0.0,0.2631578947368421,0.0
Ollie,Watkins,5.5,Sunderland,Home,386.0,0.26813471502590674,0.013989637305699482,1.4525906735751293,2.97979274611399,3.2642487046632125,0.23316062176165803,0.0,0.23316062176165803,1.6321243523316062,0.6994818652849741,0.0,0.0,1.1658031088082903,1.1658031088082903,0.6994818652849741,3.0310880829015545,0.0,0.0,0.0,0.46632124352331605,0.0
Tammy,Abraham,1.0,Sunderland,Home,120.0,0.48000000000000004,0.25500000000000006,0.72,4.1850000000000005,2.25,0.0,0.0,0.0,2.25,0.0,0.0,0.0,1.5,2.25,0.75,4.5,0.0,0.0,0.0,0.0,0.0
Zian,Flemming,4.5,Man City,Home,447.0,0.49328859060402686,0.024161073825503355,2.1583892617449667,4.663087248322148,5.23489932885906,0.6040268456375839,0.0,0.20134228187919462,1.8120805369127517,0.8053691275167785,0.0,0.0,3.0201342281879193,1.610738255033557,0.8053691275167785,5.4362416107382545,0.0,0.0,0.0,0.0,0.0
Lyle,Foster,2.5,Man City,Home,300.0,0.23999999999999996,0.03,1.4400000000000002,2.5499999999999994,3.0,0.0,0.3,0.3,1.5,0.0,0.0,0.0,2.1,2.1,1.2,5.3999999999999995,0.0,0.0,0.0,0.3,0.0
Armando,Broja,0.5,Man City,Home,306.0,0.03235294117647059,0.008823529411764706,2.261764705882353,1.9205882352941177,2.6470588235294117,0.0,0.0,0.0,2.058823529411765,0.0,0.0,0.0,0.8823529411764706,2.058823529411765,0.29411764705882354,3.235294117647059,0.0,0.0,0.0,0.0,0.0
Francisco Evanilson,de Lima Barbosa,5.0,Leeds,Home,387.0,0.22790697674418608,0.05813953488372093,1.416279069767442,2.946511627906977,4.651162790697675,0.23255813953488372,0.46511627906976744,0.46511627906976744,0.6976744186046512,0.23255813953488372,0.0,0.0,1.627906976744186,4.4186046511627906,0.0,6.046511627906977,0.0,0.0,0.0,0.0,0.0
Enes,Ünal,0.5,Leeds,Home,85.0,0.2858823529411765,0.0,2.4988235294117644,1.143529411764706,3.1764705882352944,0.0,0.0,0.0,2.1176470588235294,0.0,0.0,0.0,3.1764705882352944,1.0588235294117647,0.0,4.235294117647059,0.0,0.0,0.0,0.0,0.0
