first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Gabriel,dos Santos Magalhães,4.4,Spurs,Away,990.0,0.08454545454545455,0.07636363636363638,0.6972727272727273,6.114545454545455,7.090909090909091,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.8181818181818182,0.9090909090909091,0.0,0.9090909090909091,8.909090909090908,1.7272727272727273,1.4545454545454546,10.363636363636363,0.0,0.0,0.0,0.18181818181818182,0.0
William,Saliba,3.0,Spurs,Away,855.0,0.02631578947368421,0.024210526315789474,0.5715789473684211,4.97578947368421,4.7368421052631575,0.0,0.0,0.631578947368421,0.631578947368421,0.3157894736842105,0.0,0.21052631578947367,4.842105263157895,4.421052631578948,1.5789473684210527,6.421052631578948,0.0,0.0,0.0,0.0,0.0
Riccardo,Calafiori,1.8,Spurs,Away,701.0,0.18873038516405138,0.024393723252496436,0.6021398002853068,5.401283880171184,4.621968616262483,0.12838801711840228,0.0,0.5135520684736091,0.6419400855920114,0.25677603423680456,0.0,0.0,5.263908701854493,3.980028530670471,1.5406562054208275,6.804564907275321,0.0,0.0,0.0,0.5135520684736091,0.0
Jurriën,Timber,3.0,Spurs,Away,1170.0,0.15692307692307692,0.07153846153846154,0.7153846153846153,5.017692307692307,3.3846153846153846,0.0,0.0,0.38461538461538464,0.9230769230769231,0.0,0.0,0.3076923076923077,3.0,4.153846153846154,2.076923076923077,5.076923076923077,0.0,0.0,0.0,0.15384615384615385,0.0
Benjamin,White,0.2,Spurs,Away,250.0,0.1404,0.1116,1.2132,4.1148,4.680000000000001,0.0,0.0,0.72,0.72,0.0,0.0,0.0,3.96,3.96,2.16,6.12,0.0,0.0,0.0,0.0,0.0
Cristhian,Mosquera,0.8,Spurs,Away,310.0,0.0,0.01161290322580645,0.9377419354838709,3.553548387096774,2.32258064516129,0.0,0.0,0.0,1.161290322580645,0.0,0.0,0.5806451612903225,6.387096774193548,2.6129032258064515,2.6129032258064515,9.0,0.0,0.0,0.0,0.29032258064516125,0.0
Piero,Hincapié,4.4,Spurs,Away,604.0,0.04619205298013245,0.12814569536423842,0.9193708609271523,5.340397350993378,5.364238410596027,0.14900662251655628,0.14900662251655628,0.29801324503311255,1.1920529801324502,0.7450331125827815,0.0,0.5960264900662251,6.705298013245033,3.129139072847682,2.086092715231788,8.791390728476822,0.0,0.0,0.0,0.14900662251655628,0.0
Matty,Cash,2.5,Leeds,Home,1080.0,0.028333333333333332,0.1075,1.5991666666666668,1.9925000000000004,3.3333333333333335,0.08333333333333333,0.08333333333333333,0.25,1.0833333333333333,0.16666666666666666,0.0,0.0,3.5833333333333335,2.25,2.0,5.583333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
Lucas,Digne,1.8,Leeds,Home,657.0,0.015068493150684932,0.07945205479452055,1.741095890410959,3.1123287671232878,3.8356164383561646,0.0,0.136986301369863,0.273972602739726,1.36986301369863,0.4109589041095891,0.0,0.273972602739726,3.5616438356164384,3.8356164383561646,2.328767123287671,5.89041095890411,0.0,0.0,0.0,0.136986301369863,0.0
Ezri,Konsa Ngoyo,4.0,Leeds,Home,1080.0,0.02666666666666667,0.018333333333333337,1.7516666666666667,2.0483333333333333,2.8333333333333335,0.0,0.0,0.25,1.3333333333333333,0.08333333333333333,0.0,0.16666666666666666,5.583333333333333,3.0,0.5833333333333334,6.166666666666667,0.0,0.0,0.0,0.0,0.0
Ian,Maatsen,4.0,Leeds,Home,418.0,0.06459330143540669,0.15933014354066985,1.7332535885167464,3.1650717703349276,2.3684210526315788,0.0,0.0,0.21531100478468898,1.2918660287081338,0.0,0.0,0.0,3.8755980861244015,6.45933014354067,3.014354066985646,6.889952153110047,0.0,0.0,0.0,0.43062200956937796,0.0
Tyrone,Mings,3.8,Leeds,Home,360.0,0.10500000000000001,0.02,1.6,3.44,4.25,0.0,0.0,0.25,0.75,0.25,0.0,1.0,9.25,3.0,0.25,9.5,0.0,0.0,0.0,0.0,0.0
Pau,Torres,2.0,Leeds,Home,507.0,0.04970414201183432,0.028402366863905328,1.6189349112426037,2.336094674556213,2.485207100591716,0.0,0.0,0.17751479289940827,1.4201183431952662,0.0,0.0,0.35502958579881655,5.502958579881656,4.970414201183432,1.5976331360946745,7.100591715976331,0.17751479289940827,0.0,0.0,0.0,0.0
Lamare,Bogarde,2.5,Leeds,Home,172.0,0.0,0.01569767441860465,2.427906976744186,2.6633720930232556,4.186046511627906,0.0,0.0,0.5232558139534883,2.093023255813953,1.569767441860465,0.0,0.0,3.6627906976744184,1.569767441860465,2.6162790697674416,6.27906976744186,0.0,0.0,0.0,0.5232558139534883,0.0
Victor,Lindelöf,0.5,Leeds,Home,360.0,0.0075,0.0075,1.9275,1.5675,3.0,0.0,0.25,0.25,1.75,0.0,0.0,0.0,4.5,1.5,0.5,5.0,0.0,0.0,0.0,0.0,0.0
Kyle,Walker,1.5,Chelsea,Away,1156.0,0.009342560553633217,0.028027681660899653,2.2336505190311415,1.463667820069204,0.9342560553633218,0.0,0.0,0.0,2.491349480968858,0.0,0.0,0.31141868512110726,4.359861591695502,4.904844290657439,1.4792387543252594,5.839100346020761,0.0,0.0,0.0,0.4671280276816609,0.0
Hjalmar,Ekdal,0.0,Chelsea,Away,532.0,0.005075187969924812,0.02537593984962406,1.9454887218045112,2.305827067669173,1.6917293233082706,0.0,0.0,0.0,2.537593984962406,0.0,0.0,0.6766917293233082,7.274436090225564,2.3684210526315788,1.3533834586466165,8.62781954887218,0.0,0.0,0.0,0.0,0.0
Maxime,Estève,2.5,Chelsea,Away,973.0,0.007399794450154162,0.012024665981500511,2.3392600205549843,2.2079136690647476,1.7574511819116134,0.0,0.0,0.0,2.6824254881808836,0.0,0.0,1.1099691675231242,8.417266187050359,2.0349434737923944,1.1099691675231242,9.527235354573483,0.18499486125385406,0.0,0.0,0.0,0.0
Quilindschy,Hartman,0.0,Chelsea,Away,617.0,0.020421393841166934,0.14440842787682334,2.387844408427877,2.014424635332253,2.9173419773095626,0.0,0.5834683954619125,0.0,2.625607779578606,0.0,0.0,0.29173419773095627,4.813614262560778,3.500810372771475,1.7504051863857375,6.564019448946516,0.0,0.0,0.0,0.14586709886547813,0.0
Bashir,Humphreys,2.0,Chelsea,Away,360.0,0.01,0.005,1.9749999999999999,3.0749999999999997,3.25,0.0,0.25,0.0,2.0,0.25,0.0,1.5,7.5,3.5,2.0,9.5,0.0,0.0,0.0,0.5,0.0
Lucas,Pires Silva,0.8,Chelsea,Away,402.0,0.03134328358208956,0.029104477611940297,1.7955223880597018,2.057462686567164,1.1194029850746268,0.0,0.0,0.0,2.014925373134328,0.0,0.0,0.44776119402985076,5.597014925373134,4.925373134328358,1.791044776119403,7.388059701492537,0.0,0.0,0.0,0.0,0.22388059701492538
Oliver,Sonne,0.0,Chelsea,Away,108.0,0.13333333333333333,0.06666666666666667,1.8416666666666668,4.766666666666667,1.6666666666666667,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.8333333333333334,2.5,0.0,0.0,0.0,0.0,0.0
Axel,Tuanzebe,1.2,Chelsea,Away,495.0,0.0,0.0036363636363636364,2.5145454545454546,1.516363636363636,1.2727272727272727,0.0,0.0,0.0,2.3636363636363638,0.0,0.0,0.7272727272727273,7.818181818181818,2.727272727272727,1.0909090909090908,8.909090909090908,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0
Joe,Worrall,0.8,Chelsea,Away,225.0,0.0,0.008,1.432,3.432,2.4,0.0,0.0,0.0,1.2,0.0,0.0,0.8,11.6,2.0,0.4,12.0,0.0,0.0,0.0,0.0,0.0
Marcos,Senesi Barón,3.8,West Ham,Away,1170.0,0.02153846153846154,0.09153846153846155,2.1930769230769234,3.8838461538461546,3.923076923076923,0.0,0.15384615384615385,0.15384615384615385,2.3846153846153846,0.3076923076923077,0.0,1.8461538461538463,12.0,4.3076923076923075,1.7692307692307692,13.76923076923077,0.0,0.0,0.0,0.3076923076923077,0.0
Adam,Smith,2.2,West Ham,Away,418.0,0.0,0.021531100478468897,2.006698564593301,2.0023923444976073,2.3684210526315788,0.0,0.21531100478468898,0.21531100478468898,2.5837320574162677,0.0,0.0,0.0,4.30622009569378,1.9377990430622007,1.076555023923445,5.382775119617224,0.0,0.0,0.0,0.21531100478468898,0.0
Adrien,Truffert,4.5,West Ham,Away,1128.0,0.021542553191489365,0.07340425531914893,2.0912234042553193,2.810106382978723,2.7925531914893615,0.0,0.0797872340425532,0.1595744680851064,2.2340425531914896,0.0797872340425532,0.0,0.7978723404255319,5.50531914893617,4.627659574468085,3.5106382978723403,9.01595744680851,0.0,0.0,0.0,0.1595744680851064,0.0
James,Hill,7.2,West Ham,Away,424.0,0.010613207547169812,0.048820754716981135,1.6705188679245282,3.8695754716981132,5.518867924528302,0.0,0.2122641509433962,0.4245283018867924,0.8490566037735848,0.4245283018867924,0.0,1.2735849056603774,10.18867924528302,2.759433962264151,1.910377358490566,12.099056603773585,0.0,0.0,0.0,0.4245283018867924,0.0
Bafodé,Diakité,0.2,West Ham,Away,675.0,0.0026666666666666666,0.009333333333333334,2.2666666666666666,2.2093333333333334,1.8666666666666667,0.0,0.0,0.13333333333333333,2.8,0.0,0.0,0.5333333333333333,7.6,3.066666666666667,1.6,9.2,0.0,0.0,0.0,0.0,0.0
