first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,2.8,Leeds,Away,1980.0,0.0,0.0018181818181818182,0.7168181818181818,4.052727272727274,4.181818181818182,0.0,0.0,0.5,0.6363636363636364,0.18181818181818182,1.4545454545454546,0.0,0.8181818181818182,7.954545454545454,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
Emiliano,Martínez Romero,1.5,Brentford,Home,1575.0,0.0,0.0017142857142857142,1.3045714285714287,3.424571428571428,3.7714285714285714,0.0,0.0,0.22857142857142856,0.9714285714285714,0.17142857142857143,2.914285714285714,0.0,0.8,7.885714285714286,0.0,0.0,0.0,0.05714285714285714,0.0,0.05714285714285714,0.0
Marco,Bizot,0.3,Brentford,Home,405.0,0.0,0.0,1.8955555555555554,1.5555555555555556,2.4444444444444446,0.0,0.0,0.2222222222222222,1.7777777777777777,0.0,2.888888888888889,0.0,1.3333333333333333,9.11111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
Martin,Dúbravka,4.5,Sunderland,Away,2070.0,0.0,0.0013043478260869564,2.0730434782608698,2.880434782608696,3.1739130434782608,0.0,0.0,0.13043478260869565,1.9130434782608696,0.30434782608695654,4.086956521739131,0.0,2.0434782608695654,8.130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe,Petrović,0.8,Wolves,Away,2070.0,0.0,0.0,1.4452173913043476,2.970434782608696,2.608695652173913,0.0,0.0,0.21739130434782608,1.8695652173913044,0.043478260869565216,2.8260869565217392,0.0,1.9565217391304348,7.913043478260869,0.0,0.0,0.043478260869565216,0.0,0.0,0.08695652173913043,0.0
Caoimhín,Kelleher,4.3,Aston Villa,Away,1980.0,0.0,0.0018181818181818182,1.377727272727273,3.4909090909090907,3.727272727272727,0.0,0.0,0.22727272727272727,1.3636363636363635,0.13636363636363635,2.772727272727273,0.0,1.2727272727272727,7.818181818181818,0.045454545454545456,0.0,0.0,0.13636363636363635,0.0,0.045454545454545456,0.0
Bart,Verbruggen,2.5,Everton,Home,2070.0,0.0,0.0004347826086956522,1.4386956521739132,2.9456521739130435,3.0869565217391304,0.0,0.0,0.21739130434782608,1.3478260869565217,0.17391304347826086,2.782608695652174,0.0,0.8695652173913043,9.08695652173913,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.13043478260869565,0.0
Robert,Lynch Sánchez,3.0,West Ham,Home,1800.0,0.0,0.001,1.415,3.183,4.4,0.0,0.05,0.45,1.05,0.35,2.65,0.0,0.95,8.85,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Filip,Jörgensen,0.3,West Ham,Home,174.0,0.0,0.0,1.4379310344827587,2.089655172413793,1.5517241379310345,0.0,0.0,0.0,1.5517241379310345,0.0,1.5517241379310345,0.0,1.0344827586206897,7.241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Henderson,2.8,Nott'm Forest,Away,1980.0,0.0,0.003636363636363636,1.3504545454545454,2.8436363636363637,3.6818181818181817,0.0,0.0,0.36363636363636365,1.1363636363636365,0.09090909090909091,2.8181818181818183,0.0,1.3636363636363635,7.636363636363637,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
Jordan,Pickford,5.0,Brighton,Away,1980.0,0.0,0.005909090909090908,1.461818181818182,3.4540909090909087,4.545454545454546,0.0,0.0,0.4090909090909091,1.1363636363636365,0.5,2.8181818181818183,0.0,1.5,8.636363636363637,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
Bernd,Leno,3.0,Man Utd,Away,2070.0,0.0,0.0,1.3860869565217393,2.883478260869565,3.0434782608695654,0.0,0.0,0.21739130434782608,1.391304347826087,0.13043478260869565,2.608695652173913,0.0,1.3043478260869565,8.173913043478262,0.08695652173913043,0.0,0.0,0.0,0.0,0.13043478260869565,0.0
