first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,3.8,Wolves,Away,1080.0,0.0,0.0025,0.7516666666666668,4.204166666666667,4.333333333333333,0.0,0.0,0.5,0.75,0.3333333333333333,1.75,0.0,0.75,8.75,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
Emiliano,Martínez Romero,3.5,Brighton,Home,855.0,0.0,0.002105263157894737,1.656842105263158,2.6126315789473686,3.263157894736842,0.0,0.0,0.21052631578947367,1.1578947368421053,0.3157894736842105,2.4210526315789473,0.0,0.7368421052631579,7.684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco,Bizot,0.0,Brighton,Home,225.0,0.0,0.0,1.7719999999999998,1.6,1.6,0.0,0.0,0.0,2.0,0.0,3.6,0.0,0.8,8.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Martin,Dúbravka,2.8,Crystal Palace,Away,1080.0,0.0,0.0008333333333333334,2.2691666666666666,2.3358333333333334,2.0,0.0,0.0,0.0,2.5,0.08333333333333333,3.8333333333333335,0.0,1.3333333333333333,7.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
Đorđe,Petrović,3.2,Everton,Away,1080.0,0.0,0.0,2.1308333333333334,2.6033333333333335,2.5,0.0,0.0,0.16666666666666666,2.5,0.16666666666666666,4.166666666666667,0.0,2.25,8.916666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0
Caoimhín,Kelleher,3.0,Arsenal,Home,1080.0,0.0,0.0008333333333333334,1.3933333333333333,3.4591666666666665,3.5,0.0,0.0,0.25,1.6666666666666667,0.4166666666666667,2.6666666666666665,0.0,1.75,7.833333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
Bart,Verbruggen,1.5,Aston Villa,Away,1080.0,0.0,0.0008333333333333334,1.5658333333333336,2.3325,2.25,0.0,0.0,0.16666666666666666,1.5833333333333333,0.0,2.75,0.0,0.8333333333333334,10.083333333333334,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0
Robert,Lynch Sánchez,4.0,Leeds,Home,900.0,0.0,0.001,1.454,3.0949999999999998,4.2,0.0,0.1,0.4,1.1,0.3,2.9,0.0,1.1,8.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Filip,Jörgensen,0.0,Leeds,Home,174.0,0.0,0.0,1.4379310344827587,2.089655172413793,1.5517241379310345,0.0,0.0,0.0,1.5517241379310345,0.0,1.5517241379310345,0.0,1.0344827586206897,7.241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Henderson,1.2,Burnley,Home,1080.0,0.0,0.005,1.4124999999999999,2.5616666666666665,3.3333333333333335,0.0,0.0,0.3333333333333333,1.1666666666666667,0.0,2.8333333333333335,0.0,1.5833333333333333,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
