first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,4.0,Fulham,Home,1530.0,0.0,0.001764705882352941,0.7058823529411765,3.9958823529411767,4.411764705882353,0.0,0.0,0.5294117647058824,0.6470588235294118,0.23529411764705882,1.4705882352941178,0.0,0.8823529411764706,8.117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano,Martínez Romero,1.7,Spurs,Home,1350.0,0.0,0.0033333333333333335,1.184666666666667,4.063333333333334,4.466666666666667,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,3.1333333333333333,0.0,1.1333333333333333,9.4,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0
Marco,Bizot,1.0,Spurs,Home,180.0,0.0,0.0,2.05,1.5,3.5,0.0,0.0,0.5,1.5,0.0,2.0,0.0,2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Martin,Dúbravka,2.0,Leeds,Away,1530.0,0.0,0.001764705882352941,1.9388235294117648,2.9558823529411766,3.7058823529411766,0.0,0.0,0.23529411764705882,1.5294117647058822,0.35294117647058826,4.0,0.0,2.2941176470588234,8.823529411764707,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe,Petrović,1.3,Crystal Palace,Home,1530.0,0.0,0.0,0.8241176470588235,3.588235294117647,3.235294117647059,0.0,0.0,0.29411764705882354,1.1176470588235294,0.058823529411764705,2.1176470588235294,0.0,1.411764705882353,6.882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caoimhín,Kelleher,2.7,West Ham,Home,1530.0,0.0,0.012352941176470587,1.3029411764705883,3.4252941176470593,3.764705882352941,0.0,0.0,0.23529411764705882,1.1176470588235294,0.058823529411764705,2.7058823529411766,0.0,0.8823529411764706,7.647058823529412,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0
Bart,Verbruggen,5.7,Newcastle,Away,1530.0,0.0,0.0023529411764705885,1.14,3.576470588235294,3.764705882352941,0.0,0.0,0.23529411764705882,1.0,0.23529411764705882,2.6470588235294117,0.0,0.8235294117647058,7.882352941176471,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.0
Robert,Lynch Sánchez,2.0,Nott'm Forest,Home,1530.0,0.0,0.001764705882352941,1.3488235294117648,3.1299999999999994,3.588235294117647,0.0,0.0,0.29411764705882354,1.2352941176470589,0.23529411764705882,2.7058823529411766,0.0,0.6470588235294118,9.058823529411764,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
Dean,Henderson,3.0,Bournemouth,Away,1440.0,0.0,0.001875,1.2093749999999999,3.708125,4.375,0.0,0.0,0.375,1.1875,0.3125,2.6875,0.0,1.375,8.3125,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0
Walter,Benítez,0.0,Bournemouth,Away,90.0,0.0,0.0,1.12,3.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
