first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,4.0,Brighton,Home,450.0,0.0,0.0,0.352,4.592,4.4,0.0,0.0,0.6,0.4,0.0,0.8,0.0,1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano,Martínez Romero,2.8,Chelsea,Away,450.0,0.0,0.0,1.306,5.208,7.2,0.0,0.0,0.6,0.4,0.6,4.4,0.0,0.8,10.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Marco,Bizot,0.4,Chelsea,Away,180.0,0.0,0.0,2.05,1.5,3.5,0.0,0.0,0.5,1.5,0.0,2.0,0.0,2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Martin,Dúbravka,1.8,Everton,Home,450.0,0.0,0.004,1.918,2.7399999999999998,3.2,0.0,0.0,0.2,1.6,0.4,3.0,0.0,2.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe,Petrović,2.8,Brentford,Away,450.0,0.0,0.0,0.748,3.96,4.0,0.0,0.0,0.4,0.8,0.2,2.0,0.0,1.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caoimhín,Kelleher,4.4,Bournemouth,Home,450.0,0.0,0.0,1.204,3.04,2.4,0.0,0.0,0.0,1.2,0.0,2.0,0.0,1.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bart,Verbruggen,4.6,Arsenal,Away,450.0,0.0,0.0,1.468,4.6,5.6,0.0,0.0,0.4,1.2,0.6,4.2,0.0,0.6,8.6,0.2,0.0,0.0,0.2,0.0,0.4,0.0
Robert,Lynch Sánchez,4.8,Aston Villa,Home,450.0,0.0,0.002,1.144,2.87,3.6,0.0,0.0,0.4,0.8,0.0,1.6,0.0,1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Henderson,2.6,Spurs,Home,450.0,0.0,0.004,1.066,3.4760000000000004,3.8,0.0,0.0,0.4,1.6,0.4,2.8,0.0,2.2,8.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Jordan,Pickford,4.7,Burnley,Away,450.0,0.0,0.0,1.384,2.8560000000000003,3.4,0.0,0.0,0.4,1.6,0.0,2.0,0.0,1.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernd,Leno,2.6,West Ham,Away,450.0,0.0,0.0,0.966,3.7920000000000003,4.2,0.0,0.0,0.6,1.4,0.4,1.8,0.0,1.0,9.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Karl,Darlow,0.0,Sunderland,Away,180.0,0.0,0.005,0.675,3.815,1.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Estella,Perri,2.0,Sunderland,Away,450.0,0.0,0.0,1.334,2.112,1.4,0.0,0.0,0.0,1.6,0.0,2.2,0.0,1.2,5.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Alisson,Becker,4.0,Wolves,Home,450.0,0.0,0.002,1.016,4.126,4.4,0.0,0.0,0.4,1.0,0.6,2.2,0.0,1.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgi,Mamardashvili,0.0,Wolves,Home,180.0,0.0,0.0,0.875,3.68,4.0,0.0,0.0,0.5,1.0,0.0,2.5,0.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James,Trafford,0.0,Nott'm Forest,Away,90.0,0.0,0.0,1.11,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi,Donnarumma,5.0,Nott'm Forest,Away,450.0,0.0,0.0,0.932,3.7040000000000006,5.2,0.0,0.0,0.6,0.6,0.0,2.4,0.0,1.2,6.6,0.0,0.0,0.0,0.2,0.0,0.4,0.0
Altay,Bayındır,0.0,Newcastle,Home,270.0,0.0,0.0033333333333333335,0.98,2.7699999999999996,1.6666666666666667,0.0,0.0,0.0,1.3333333333333333,0.0,1.0,0.0,1.3333333333333333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senne,Lammens,1.7,Newcastle,Home,450.0,0.0,0.0,0.95,4.032,3.2,0.0,0.0,0.2,1.6,0.4,2.4,0.0,0.4,8.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Nick,Pope,0.0,Man Utd,Away,450.0,0.0,0.0,1.37,3.768,4.6,0.0,0.0,0.4,0.8,0.2,3.8,0.0,0.8,8.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Aaron,Ramsdale,1.6,Man Utd,Away,270.0,0.0,0.0,1.1933333333333334,2.3333333333333335,1.3333333333333333,0.0,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333,0.0,1.3333333333333333,9.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matz,Sels,2.0,Man City,Home,450.0,0.0,0.006,1.24,2.866,2.0,0.0,0.0,0.0,1.8,0.0,2.8,0.0,0.8,7.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
John Victor,Maciel Furtado,1.4,Man City,Home,90.0,0.0,0.0,0.33,4.68,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin,Roefs,4.2,Leeds,Home,450.0,0.0,0.004,1.108,3.868,4.2,0.0,0.0,0.4,1.0,0.6,3.0,0.0,0.6,10.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Guglielmo,Vicario,2.4,Crystal Palace,Away,450.0,0.0,0.0,1.1420000000000001,3.776,2.6,0.0,0.0,0.2,1.4,0.0,2.4,0.0,1.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse,Areola,2.2,Fulham,Home,450.0,0.0,0.0,1.16,3.2479999999999998,2.0,0.0,0.0,0.0,2.0,0.0,3.4,0.0,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mads,Hermansen,0.0,Fulham,Home,180.0,0.0,0.0,2.015,1.5,0.5,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Johnstone,1.0,Liverpool,Away,450.0,0.0,0.002,1.738,2.414,1.8,0.0,0.0,0.0,2.2,0.0,3.4,0.0,2.0,10.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
José,Malheiro de Sá,0.4,Liverpool,Away,360.0,0.0,0.0,1.5400000000000003,2.52,1.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,0.75,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
