first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
David,Raya Martín,4.3,Spurs,Home,450.0,0.0,0.0,0.45199999999999996,4.192,5.0,0.0,0.0,0.8,0.4,0.0,0.2,0.0,1.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano,Martínez Romero,7.7,Leeds,Away,450.0,0.0,0.0,1.0299999999999998,4.464,5.2,0.0,0.0,0.4,0.8,0.6,2.2,0.0,0.8,10.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0
Marco,Bizot,0.0,Leeds,Away,180.0,0.0,0.0,2.05,1.5,3.5,0.0,0.0,0.5,1.5,0.0,2.0,0.0,2.0,9.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Martin,Dúbravka,2.0,Chelsea,Home,450.0,0.0,0.0,2.392,2.6,3.4,0.0,0.0,0.2,1.8,0.4,4.4,0.0,1.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Đorđe,Petrović,3.7,West Ham,Home,450.0,0.0,0.0,1.918,3.2159999999999997,3.2,0.0,0.0,0.2,2.2,0.2,3.8,0.0,2.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caoimhín,Kelleher,1.7,Brighton,Away,450.0,0.0,0.0,0.916,3.5759999999999996,2.8,0.0,0.0,0.2,1.2,0.0,1.8,0.0,0.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bart,Verbruggen,4.3,Brentford,Home,450.0,0.0,0.0,0.908,2.96,3.2,0.0,0.0,0.4,1.2,0.0,2.8,0.0,0.2,8.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Robert,Lynch Sánchez,4.3,Burnley,Away,450.0,0.0,0.002,1.1759999999999997,2.9899999999999998,4.0,0.0,0.0,0.6,0.6,0.0,1.2,0.0,0.8,9.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Filip,Jörgensen,0.0,Burnley,Away,84.0,0.0,0.0,1.917857142857143,2.142857142857143,1.0714285714285714,0.0,0.0,0.0,2.142857142857143,0.0,1.0714285714285714,0.0,2.142857142857143,5.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dean,Henderson,5.7,Wolves,Away,450.0,0.0,0.006,1.212,3.282,4.0,0.0,0.0,0.4,1.2,0.4,2.8,0.0,1.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,Pickford,3.3,Man Utd,Away,450.0,0.0,0.006,1.522,2.698,3.0,0.0,0.0,0.2,1.4,0.0,3.4,0.0,1.6,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernd,Leno,3.7,Sunderland,Home,450.0,0.0,0.0,1.362,3.408,3.2,0.0,0.0,0.2,1.6,0.2,3.4,0.0,1.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karl,Darlow,0.0,Aston Villa,Home,450.0,0.0,0.002,0.8859999999999999,3.686,2.0,0.0,0.0,0.0,1.6,0.0,2.6,0.0,1.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Estella,Perri,1.7,Aston Villa,Home,450.0,0.0,0.0,1.922,2.3120000000000003,2.2,0.0,0.0,0.2,2.4,0.0,2.2,0.0,1.0,6.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Alisson,Becker,0.0,Nott'm Forest,Home,450.0,0.0,0.0,1.034,3.8,3.8,0.0,0.0,0.4,1.0,0.4,1.6,0.0,2.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgi,Mamardashvili,5.3,Nott'm Forest,Home,450.0,0.0,0.0,1.42,4.072,3.8,0.0,0.0,0.2,2.0,0.0,3.4,0.0,1.4,8.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0
James,Trafford,0.0,Newcastle,Away,270.0,0.0,0.0,1.3233333333333333,3.2533333333333334,3.6666666666666665,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,3.6666666666666665,0.0,2.0,11.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi,Donnarumma,3.3,Newcastle,Away,450.0,0.0,0.0,0.776,2.896,4.4,0.0,0.0,0.6,0.4,0.0,2.0,0.0,1.4,6.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Altay,Bayındır,0.0,Everton,Home,450.0,0.0,0.01,1.5859999999999999,2.4859999999999998,1.8,0.0,0.0,0.0,2.0,0.0,2.2,0.0,1.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senne,Lammens,1.3,Everton,Home,450.0,0.0,0.0,1.486,3.096,3.2,0.0,0.0,0.2,1.4,0.4,2.8,0.0,0.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick,Pope,3.0,Man City,Home,436.0,0.0,0.0,1.0940366972477067,4.111926605504587,3.7155963302752295,0.0,0.0,0.20642201834862386,1.444954128440367,0.0,4.3348623853211015,0.0,3.096330275229358,9.495412844036698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matz,Sels,2.0,Liverpool,Away,450.0,0.0,0.008,1.47,3.4,2.2,0.0,0.0,0.0,2.0,0.0,3.8,0.0,0.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin,Roefs,2.7,Fulham,Away,450.0,0.0,0.0,1.268,3.3280000000000003,3.4,0.0,0.0,0.2,1.2,0.0,3.8,0.0,0.6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guglielmo,Vicario,3.7,Arsenal,Away,450.0,0.0,0.0,1.568,3.2399999999999998,3.0,0.0,0.0,0.2,1.2,0.0,2.6,0.0,1.4,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse,Areola,2.3,Bournemouth,Away,450.0,0.0,0.0,1.6300000000000001,2.984,2.2,0.0,0.0,0.0,1.8,0.0,3.6,0.0,1.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mads,Hermansen,0.0,Bournemouth,Away,360.0,0.0,0.0025,1.36,2.5975,2.25,0.0,0.0,0.25,2.75,0.0,2.25,0.0,1.75,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam,Johnstone,2.0,Crystal Palace,Home,450.0,0.0,0.002,1.5859999999999999,2.886,2.0,0.0,0.0,0.0,2.4,0.0,3.8,0.0,0.6,10.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
José,Malheiro de Sá,0.0,Crystal Palace,Home,360.0,0.0,0.0075,1.5425,2.5425,1.25,0.0,0.0,0.0,2.75,0.0,1.25,0.0,0.75,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
