first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Bukayo,Saka,4.8,Bournemouth,Home,995.0,0.34914572864321614,0.24603015075376883,0.6684422110552763,6.3235175879396985,6.331658291457287,0.271356783919598,0.36180904522613067,0.45226130653266333,0.7236180904522613,0.8140703517587939,0.0,0.542713567839196,1.085427135678392,4.793969849246231,1.9899497487437185,7.869346733668342,0.0,0.0,0.0,0.09045226130653267,0.0
Martin,Ødegaard,1.0,Bournemouth,Home,509.0,0.05304518664047152,0.2722986247544204,1.225343811394892,3.603536345776032,4.243614931237721,0.0,0.3536345776031434,0.3536345776031434,0.8840864440078585,0.3536345776031434,0.0,0.3536345776031434,1.4145383104125735,4.597249508840864,1.237721021611002,7.24950884086444,0.0,0.0,0.0,0.0,0.0
Noni,Madueke,1.0,Bournemouth,Home,466.0,0.11781115879828327,0.12939914163090127,0.7918454935622318,4.892060085836909,6.5665236051502145,0.38626609442060084,0.19313304721030042,0.38626609442060084,0.5793991416309012,1.1587982832618025,0.0,0.0,1.351931330472103,1.5450643776824033,1.351931330472103,4.24892703862661,0.0,0.0,0.0,0.0,0.0
Gabriel,Martinelli Silva,1.8,Bournemouth,Home,473.0,0.32536997885835095,0.09513742071881606,0.7496828752642707,3.8968287526427057,3.4249471458773786,0.0,0.38054968287526425,0.19027484143763213,0.7610993657505285,0.0,0.0,0.0,0.9513742071881607,4.376321353065539,1.331923890063425,6.659619450317125,0.0,0.0,0.0,0.0,0.0
Leandro,Trossard,1.0,Bournemouth,Home,799.0,0.28948685857321654,0.12277847309136421,0.5181476846057571,4.922403003754693,5.1814768460575715,0.3379224030037547,0.11264080100125155,0.4505632040050062,0.6758448060075094,0.4505632040050062,0.0,0.0,1.4643304130162702,3.266583229036295,1.4643304130162702,6.1952440550688355,0.0,0.0,0.0,0.0,0.0
Declan,Rice,3.8,Bournemouth,Home,1432.0,0.08358938547486033,0.18980446927374303,0.7491620111731845,5.589175977653632,6.410614525139665,0.18854748603351956,0.25139664804469275,0.43994413407821226,0.8170391061452513,1.005586592178771,0.0,1.2569832402234637,4.776536312849162,5.970670391061453,2.2625698324022347,13.009776536312849,0.0,0.0,0.0,0.0,0.0
Mikel,Merino Zazón,0.0,Bournemouth,Home,400.0,0.27899999999999997,0.1485,0.6615,4.553999999999999,4.725,0.22499999999999998,0.22499999999999998,0.22499999999999998,0.8999999999999999,0.44999999999999996,0.0,0.0,1.575,4.2749999999999995,1.7999999999999998,7.6499999999999995,0.0,0.0,0.0,0.0,0.0
Martín,Zubimendi Ibáñez,2.5,Bournemouth,Home,1360.0,0.0549264705882353,0.08073529411764706,0.7901470588235294,3.2088970588235295,3.375,0.0661764705882353,0.0661764705882353,0.4632352941176471,0.8602941176470589,0.1985294117647059,0.0,0.3970588235294118,3.838235294117647,3.4411764705882355,1.9191176470588236,9.198529411764707,0.0,0.0,0.0,0.2647058823529412,0.0
Eberechi,Eze,5.5,Bournemouth,Home,744.0,0.24072580645161284,0.07379032258064516,0.7040322580645161,4.255645161290322,4.233870967741935,0.24193548387096772,0.0,0.48387096774193544,0.7258064516129031,0.24193548387096772,0.0,0.0,1.2096774193548385,3.8709677419354835,0.48387096774193544,5.564516129032257,0.0,0.0,0.0,0.0,0.0
Morgan,Rogers,1.4,Nott'm Forest,Away,1332.0,0.14189189189189189,0.13513513513513517,1.5932432432432433,3.3709459459459463,5.27027027027027,0.4054054054054054,0.13513513513513511,0.2027027027027027,1.4864864864864864,0.6756756756756757,0.0,0.13513513513513511,1.4189189189189189,3.5810810810810807,1.2162162162162162,6.216216216216216,0.0,0.0,0.0,0.2027027027027027,0.0
