first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Bukayo,Saka,6.0,Everton,Away,461.0,0.34164859002169207,0.36702819956616056,0.31236442516268986,6.401518438177875,7.613882863340565,0.5856832971800434,0.3904555314533623,0.3904555314533623,0.3904555314533623,0.5856832971800434,0.0,0.3904555314533623,0.7809110629067246,5.466377440347072,1.5618221258134493,7.809110629067246,0.0,0.0,0.0,0.0,0.0
Martin,Ødegaard,1.4,Everton,Away,189.0,0.09047619047619047,0.17142857142857143,0.45238095238095233,3.3714285714285714,2.857142857142857,0.0,0.0,0.47619047619047616,0.47619047619047616,0.0,0.0,0.0,0.47619047619047616,3.8095238095238093,1.9047619047619047,6.19047619047619,0.0,0.0,0.0,0.0,0.0
Noni,Madueke,1.2,Everton,Away,246.0,0.10243902439024391,0.3219512195121951,0.39878048780487807,4.737804878048781,3.658536585365854,0.0,0.0,1.0975609756097562,0.36585365853658536,0.0,0.0,0.0,1.0975609756097562,2.926829268292683,1.829268292682927,5.853658536585366,0.0,0.0,0.0,0.0,0.0
Gabriel,Martinelli Silva,1.2,Everton,Away,140.0,0.27642857142857147,0.03214285714285715,0.6042857142857143,4.088571428571428,3.2142857142857144,0.0,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,1.2857142857142856,1.9285714285714286,0.0,3.2142857142857144,0.0,0.0,0.0,0.0,0.0
Leandro,Trossard,3.8,Everton,Away,394.0,0.21015228426395938,0.12106598984771573,0.42715736040609137,4.641624365482234,5.025380710659898,0.22842639593908629,0.22842639593908629,0.45685279187817257,0.6852791878172588,0.45685279187817257,0.0,0.0,1.1421319796954315,3.6548223350253806,1.3705583756345177,6.16751269035533,0.0,0.0,0.0,0.0,0.0
Declan,Rice,4.2,Everton,Away,623.0,0.16902086677367578,0.30337078651685395,0.3900481540930979,5.410112359550562,5.634028892455858,0.14446227929373998,0.4333868378812199,0.5778491171749599,0.4333868378812199,0.7223113964686998,0.0,0.28892455858747995,1.7335473515248796,4.478330658105939,1.4446227929373996,7.656500802568218,0.0,0.0,0.0,0.14446227929373998,0.0
Mikel,Merino Zazón,5.8,Everton,Away,344.0,0.2354651162790698,0.1883720930232558,0.32965116279069767,4.813953488372094,6.017441860465116,0.26162790697674415,0.5232558139534883,0.5232558139534883,0.7848837209302325,0.5232558139534883,0.0,0.0,2.3546511627906974,5.4941860465116275,2.877906976744186,10.726744186046512,0.0,0.0,0.0,0.0,0.0
Ethan,Nwaneri,0.2,Everton,Away,124.0,0.12338709677419354,0.02903225806451613,0.14516129032258066,3.462096774193548,2.903225806451613,0.0,0.0,0.7258064516129032,0.0,0.0,0.0,0.0,0.7258064516129032,4.354838709677419,0.7258064516129032,5.806451612903226,0.0,0.0,0.0,0.0,0.0
Martín,Zubimendi Ibáñez,1.6,Everton,Away,657.0,0.03835616438356164,0.04657534246575342,0.35342465753424657,3.6767123287671235,4.794520547945206,0.273972602739726,0.0,0.684931506849315,0.273972602739726,0.4109589041095891,0.0,0.273972602739726,3.4246575342465753,3.6986301369863015,1.6438356164383563,8.767123287671232,0.0,0.0,0.0,0.0,0.0
Eberechi,Eze,5.0,Everton,Away,463.0,0.27796976241900645,0.22548596112311017,0.32656587473002163,5.82181425485961,9.524838012958963,0.7775377969762418,0.5831533477321814,0.5831533477321814,0.19438444924406045,1.1663066954643628,0.0,0.0,1.3606911447084231,3.3045356371490278,1.5550755939524836,6.2203023758099345,0.0,0.0,0.0,0.0,0.0
