first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Bukayo,Saka,6.2,Bournemouth,Away,430.0,0.3934883720930233,0.23232558139534887,0.7158139534883721,5.992325581395349,6.488372093023256,0.0,1.0465116279069768,0.4186046511627907,0.627906976744186,1.0465116279069768,0.0,0.0,0.20930232558139536,3.7674418604651163,1.6744186046511629,5.651162790697675,0.0,0.0,0.0,0.20930232558139536,0.0
Martin,Ødegaard,4.0,Bournemouth,Away,390.0,0.1776923076923077,0.22615384615384618,1.377692307692308,4.073076923076923,4.846153846153847,0.23076923076923078,0.23076923076923078,0.23076923076923078,1.153846153846154,0.6923076923076924,0.0,0.0,0.9230769230769231,5.0769230769230775,1.3846153846153848,7.384615384615385,0.0,0.0,0.0,0.0,0.0
Noni,Madueke,0.8,Bournemouth,Away,304.0,0.1243421052631579,0.2516447368421053,0.47072368421052635,4.1625000000000005,2.960526315789474,0.0,0.0,0.5921052631578947,0.5921052631578947,0.0,0.0,0.0,0.8881578947368421,2.0723684210526314,1.480263157894737,4.440789473684211,0.0,0.0,0.0,0.0,0.0
Gabriel,Martinelli Silva,1.0,Bournemouth,Away,265.0,0.18339622641509434,0.020377358490566034,0.590943396226415,3.4437735849056597,3.0566037735849054,0.0,0.0,0.6792452830188679,0.33962264150943394,0.0,0.0,0.0,0.6792452830188679,1.6981132075471697,0.33962264150943394,2.7169811320754715,0.0,0.0,0.0,0.0,0.0
Leandro,Trossard,4.2,Bournemouth,Away,323.0,0.46811145510835916,0.22848297213622293,1.198142414860681,5.91547987616099,6.96594427244582,0.5572755417956656,0.2786377708978328,0.2786377708978328,0.8359133126934984,0.8359133126934984,0.0,0.0,1.1145510835913313,4.458204334365325,1.393188854489164,6.96594427244582,0.0,0.0,0.0,0.0,0.0
Declan,Rice,4.5,Bournemouth,Away,442.0,0.12624434389140274,0.15067873303167423,0.785972850678733,5.216742081447964,5.497737556561086,0.0,0.4072398190045249,0.4072398190045249,0.8144796380090498,1.0180995475113122,0.0,0.8144796380090498,4.886877828054298,6.515837104072398,1.2217194570135745,12.624434389140271,0.0,0.0,0.0,0.0,0.0
Mikel,Merino Zazón,3.3,Bournemouth,Away,329.0,0.22158054711246203,0.06838905775075987,0.7413373860182371,3.8544072948328267,5.197568389057751,0.2735562310030395,0.2735562310030395,0.547112462006079,0.8206686930091186,0.547112462006079,0.0,0.0,3.556231003039514,4.376899696048632,2.7355623100303954,10.668693009118542,0.0,0.0,0.0,0.2735562310030395,0.0
Ethan,Nwaneri,0.0,Bournemouth,Away,124.0,0.12338709677419354,0.02903225806451613,0.14516129032258066,3.462096774193548,2.903225806451613,0.0,0.0,0.7258064516129032,0.0,0.0,0.0,0.0,0.7258064516129032,4.354838709677419,0.7258064516129032,5.806451612903226,0.0,0.0,0.0,0.0,0.0
Martín,Zubimendi Ibáñez,3.2,Bournemouth,Away,417.0,0.2589928057553957,0.045323741007194246,1.3294964028776977,3.302158273381295,3.4532374100719423,0.2158273381294964,0.0,0.2158273381294964,0.8633093525179856,0.2158273381294964,0.0,0.0,4.964028776978417,1.9424460431654675,1.079136690647482,7.985611510791366,0.0,0.0,0.0,0.0,0.0
Eberechi,Eze,0.5,Bournemouth,Away,291.0,0.20412371134020618,0.14226804123711342,0.5907216494845361,4.568041237113402,7.731958762886598,0.9278350515463918,0.0,0.0,0.9278350515463918,0.9278350515463918,0.0,0.0,1.8556701030927836,4.020618556701031,1.2371134020618557,7.11340206185567,0.0,0.0,0.0,0.0,0.0
Morgan,Rogers,6.7,Nott'm Forest,Home,441.0,0.4163265306122449,0.15714285714285714,1.8693877551020408,5.002040816326531,6.938775510204081,0.8163265306122448,0.0,0.0,1.8367346938775508,1.2244897959183672,0.0,0.0,1.6326530612244896,2.8571428571428568,1.0204081632653061,5.5102040816326525,0.0,0.0,0.0,0.4081632653061224,0.0
Youri,Tielemans,3.3,Nott'm Forest,Home,441.0,0.07551020408163264,0.10816326530612244,1.8693877551020408,2.946938775510204,3.877551020408163,0.0,0.4081632653061224,0.0,1.8367346938775508,0.2040816326530612,0.0,0.4081632653061224,1.8367346938775508,5.5102040816326525,2.8571428571428568,10.204081632653061,0.0,0.0,0.0,0.0,0.0
Emiliano,Buendía Stati,2.3,Nott'm Forest,Home,286.0,0.1006993006993007,0.025174825174825177,2.1933566433566436,3.640909090909091,5.664335664335665,0.3146853146853147,0.0,0.3146853146853147,1.2587412587412588,0.9440559440559441,0.0,0.6293706293706294,1.8881118881118881,5.979020979020979,2.8321678321678325,10.6993006993007,0.0,0.0,0.0,0.0,0.0
Donyell,Malen,2.3,Nott'm Forest,Home,211.0,0.6867298578199051,0.012796208530805686,1.7402843601895734,5.229383886255925,4.265402843601896,0.0,0.42654028436018954,0.42654028436018954,1.2796208530805686,0.0,0.0,0.0,0.42654028436018954,0.8530805687203791,0.0,1.2796208530805686,0.0,0.0,0.0,0.0,0.0
John,McGinn,2.0,Nott'm Forest,Home,350.0,0.26742857142857146,0.11057142857142858,2.2525714285714287,2.954571428571429,2.8285714285714287,0.0,0.2571428571428572,0.0,2.3142857142857145,0.0,0.0,0.0,1.542857142857143,3.857142857142857,1.2857142857142858,6.685714285714286,0.0,0.0,0.0,0.0,0.0
Boubacar,Kamara,2.7,Nott'm Forest,Home,418.0,0.05813397129186603,0.021531100478468897,1.6708133971291865,2.9389952153110044,3.4449760765550237,0.0,0.21531100478468898,0.0,1.507177033492823,0.6459330143540669,0.0,0.43062200956937796,2.15311004784689,4.090909090909091,2.15311004784689,8.39712918660287,0.0,0.0,0.0,0.43062200956937796,0.0
Amadou,Onana,3.5,Nott'm Forest,Home,296.0,0.0,0.024324324324324326,1.4564189189189192,2.912837837837838,3.040540540540541,0.0,0.0,0.0,1.2162162162162162,0.0,0.0,0.6081081081081081,4.560810810810811,3.040540540540541,2.1283783783783785,9.72972972972973,0.0,0.0,0.0,0.0,0.0
