team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,0.976852,1.12964,0.976852,1.12964,,,14.0,2.0,0.0,1.0,1.1286999999999998,0.0,0.0,1.0,0.0,-0.15278799999999992
Everton,1.356124,1.6622285,1.356124,1.2816435,,,6.5,5.0,1.5,1.5,1.25405,0.5,0.0,0.5,1.5,0.0744805
Bournemouth,1.846565,1.25037,1.846565,1.25037,,,9.5,6.5,1.5,2.0,1.8148000000000002,0.5,0.0,0.5,1.5,0.5961949999999999
Sunderland,1.12127,1.00381,1.12127,1.00381,,,4.0,4.0,0.0,2.0,1.448,0.0,0.0,1.0,0.0,0.1174599999999999
Crystal Palace,1.8156349999999999,1.286895,1.43505,1.286895,,,3.5,6.5,1.5,0.0,1.7753999999999999,0.5,0.5,0.0,2.0,0.14815500000000004
Chelsea,3.94997,0.978572,3.94997,0.978572,,,5.0,6.0,5.0,1.0,2.8571000000000004,1.0,0.0,0.0,3.0,2.9713979999999998
West Ham,1.397474,0.7201930000000001,1.016889,0.7201930000000001,,,6.5,4.0,1.5,1.5,1.8202,0.5,0.0,0.5,1.5,0.296696
Tottenham,1.28015,1.2475,1.28015,1.2475,,,4.0,8.0,2.0,0.0,1.3643999999999998,1.0,0.0,0.0,3.0,0.032649999999999846
Arsenal,0.9080395,0.928967,0.9080395,0.928967,,,4.0,5.5,0.5,0.5,1.31685,0.5,0.0,0.5,1.5,-0.020927499999999988
Newcastle United,0.8523075,0.4979505,0.8523075,0.4979505,,,5.5,3.5,0.0,0.0,1.6047499999999997,0.0,1.0,0.0,1.0,0.354357
Liverpool,0.646559,1.96342,0.646559,1.96342,,,6.0,3.0,3.0,2.0,0.39349999999999996,1.0,0.0,0.0,3.0,-1.3168609999999998
Manchester City,2.2166050000000004,1.3640379999999999,2.2166050000000004,0.983453,,,8.5,4.0,2.5,1.0,1.9747000000000001,0.5,0.0,0.5,1.5,1.233152
Manchester United,1.54603,1.65333,0.784858,1.65333,,,11.0,11.0,1.0,1.0,1.2692,0.0,1.0,0.0,1.0,-0.868472
Burnley,1.0301589999999998,3.000475,1.0301589999999998,2.61989,,,4.5,7.5,1.0,3.0,0.3139,0.0,0.0,1.0,0.0,-1.589731
Brighton,2.08487,1.80116,1.3237,1.80116,,,8.0,5.0,0.0,2.0,1.6155000000000002,0.0,0.0,1.0,0.0,-0.47746
Fulham,0.8195555,1.93624,0.8195555,1.1750695,,,7.5,4.5,0.5,1.5,0.5671999999999999,0.0,0.5,0.5,0.5,-0.355514
Wolverhampton Wanderers,0.373367,1.78462,0.373367,1.78462,,,3.0,6.0,0.0,1.0,0.3052,0.0,0.0,1.0,0.0,-1.411253
Brentford,1.3856,1.663385,0.6244339999999999,1.2827995,,,3.5,4.0,1.0,2.5,1.1399000000000001,0.0,0.0,1.0,0.0,-0.6583654999999999
Leeds,0.156761,2.73761,0.156761,1.97644,,,1.0,5.0,0.0,5.0,0.0513,0.0,0.0,1.0,0.0,-1.819679
Nottingham Forest,1.32987,1.10188,1.32987,1.10188,,,4.0,6.0,1.0,1.0,1.5392,0.0,1.0,0.0,1.0,0.22799000000000014
