team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,1.3966112000000002,1.1053104,1.3966112000000002,0.9530763999999999,,,7.4,5.0,2.2,0.4,1.6050999999999997,1.0,0.0,0.0,3.0,0.44353479999999995
Everton,1.5537966,1.5860447999999998,1.4015626,1.5860447999999998,,,8.2,6.2,1.2,1.8,1.3515599999999999,0.4,0.2,0.4,1.4,-0.18448219999999999
Bournemouth,1.3320492,0.5777968,1.1798152,0.5777968,,,8.0,5.6,1.4,0.8,1.78538,0.4,0.4,0.2,1.6,0.6020184
Sunderland,1.1036604,1.3490514,0.9514344000000001,1.3490514,,,6.6,10.4,1.8,1.2,1.17358,0.4,0.6,0.0,1.8,-0.397617
Crystal Palace,2.3611569999999995,1.6168150000000001,2.056689,1.6168150000000001,,,9.0,5.4,1.6,1.2,1.7985600000000002,0.4,0.4,0.2,1.6,0.4398740000000001
Chelsea,1.8504788,1.4850504,1.8504788,1.4850504,,,7.2,6.2,1.6,1.4,1.34634,0.4,0.2,0.4,1.4,0.36542840000000004
West Ham,1.0943755999999998,1.9536650000000002,1.0943755999999998,1.9536650000000002,,,4.0,8.2,1.4,1.8,1.0090999999999999,0.4,0.0,0.6,1.2,-0.8592894
Tottenham,0.975911,1.2338485999999997,0.975911,1.2338485999999997,,,4.4,5.4,1.0,1.6,1.4253200000000001,0.0,0.4,0.6,0.4,-0.25793759999999993
Arsenal,1.9085560000000001,0.5913132400000001,1.7563220000000002,0.5913132400000001,,,9.8,2.4,2.0,0.4,2.2108600000000003,0.8,0.2,0.0,2.6,1.16500876
Newcastle United,2.3231322,1.4873418,2.0186642,1.4873418,,,6.6,8.0,1.8,1.2,1.8167200000000001,0.6,0.2,0.2,2.0,0.5313224
Liverpool,1.6621299999999999,1.1189626000000001,1.6621299999999999,1.1189626000000001,,,10.0,6.0,1.2,1.4,1.8074000000000001,0.4,0.2,0.4,1.4,0.5431674
Manchester City,2.5279120000000006,0.9966958000000001,2.3756774,0.8144652000000001,,,11.4,4.6,3.2,0.8,2.37254,1.0,0.0,0.0,3.0,1.5612122000000002
Manchester United,1.9574259999999999,0.7490038000000001,1.9574259999999999,0.7490038000000001,,,8.4,4.6,1.8,1.0,2.27592,0.6,0.2,0.2,2.0,1.2084222
Burnley,0.8319753999999999,1.6775031999999999,0.8319753999999999,1.6775031999999999,,,4.8,8.4,0.6,1.2,0.82332,0.2,0.2,0.6,0.8,-0.8455277999999999
Brighton,1.5687004,1.6382739999999998,1.5687004,1.3338056,,,6.8,8.6,2.4,1.6,1.2830799999999998,0.6,0.2,0.2,2.0,0.23489480000000001
Fulham,1.5497274,1.0599475999999999,1.5497274,1.0599475999999999,,,8.4,5.6,2.2,1.4,1.68916,0.6,0.0,0.4,1.8,0.4897798
Wolverhampton Wanderers,1.4411048,1.1934456,1.2888708,1.1934456,,,6.8,6.4,0.8,2.0,1.55412,0.0,0.2,0.8,0.2,0.09542520000000003
Brentford,2.6421255999999995,1.3514484,2.1854275999999997,1.0469806,,,5.0,4.6,2.4,1.2,2.1229199999999997,0.8,0.0,0.2,2.4,1.138447
Leeds,1.9601140000000001,0.9141958000000001,1.9601140000000001,0.9141958000000001,,,3.6,6.0,1.8,1.6,2.17908,0.4,0.2,0.4,1.4,1.0459182
Nottingham Forest,1.6955509999999996,1.5785442,1.5433189999999999,1.5785442,,,7.4,5.0,1.0,1.8,1.4758600000000002,0.2,0.2,0.6,0.8,-0.03522520000000005
