team,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,conceded,xpts,wins,draws,loses,pts,npxGD
Aston Villa,2.074066,1.9825400000000002,2.074066,1.9825400000000002,,,8.2,7.6,1.6,1.4,1.5306000000000002,0.6,0.2,0.2,2.0,0.09152599999999989
Everton,1.1598865999999999,1.7232480000000003,1.1598865999999999,1.5710140000000001,,,3.4,8.6,1.0,1.2,1.0721,0.2,0.4,0.4,1.0,-0.4111274
Bournemouth,2.0019412,1.7141736,2.0019412,1.5619396,,,6.6,7.8,1.8,2.4,1.5799,0.2,0.4,0.4,1.0,0.4400016
Sunderland,1.1176058,2.29583,0.9653724,2.29583,,,5.2,11.4,0.8,1.2,0.66938,0.2,0.6,0.2,1.2,-1.3304576000000001
Crystal Palace,1.4076262000000002,1.8537816,1.4076262000000002,1.8537816,,,9.0,7.4,0.4,1.2,1.0421999999999998,0.0,0.4,0.6,0.4,-0.4461554
Chelsea,2.08309,1.823286,1.7786221999999998,1.823286,,,5.8,9.0,1.4,1.4,1.61466,0.2,0.4,0.4,1.0,-0.0446638000000001
West Ham,1.6307776,1.8725,1.4785435999999996,1.2635672,,,6.4,6.2,1.0,1.8,1.23596,0.2,0.2,0.6,0.8,0.21497639999999993
Tottenham,1.2351193999999999,1.1822431999999998,1.2351193999999999,1.1822431999999998,,,8.2,7.0,1.0,1.2,1.4636,0.2,0.4,0.4,1.0,0.05287620000000004
Arsenal,2.3603183999999997,1.0473966,2.3603183999999997,1.0473966,,,9.4,3.8,1.8,0.8,2.2093800000000003,0.6,0.4,0.0,2.2,1.3129218000000002
Newcastle United,2.3327359999999997,1.3847702,2.1805019999999997,1.2325362,,,8.2,6.6,2.2,1.4,2.0364600000000004,0.6,0.2,0.2,2.0,0.9479658000000001
Liverpool,1.7542484000000003,0.5596018,1.6020144000000003,0.5596018,,,11.4,4.4,1.0,0.8,2.14128,0.2,0.8,0.0,1.4,1.0424126
Manchester City,1.656739,1.6007884000000001,1.504505,1.6007884000000001,,,11.8,3.2,0.8,1.0,1.50468,0.2,0.6,0.2,1.2,-0.09628339999999999
Manchester United,1.9238682,0.8049366000000001,1.9238682,0.8049366000000001,,,6.4,7.8,1.4,0.8,2.03182,0.4,0.6,0.0,1.8,1.1189316
Burnley,0.7392444,2.24631,0.7392444,2.094076,,,4.4,11.8,0.8,1.6,0.50378,0.0,0.6,0.4,0.6,-1.3548316
Brighton,1.5043592000000001,1.8687302000000003,1.1998932,1.5642622000000002,,,5.6,7.0,1.2,1.0,1.2178999999999998,0.2,0.6,0.2,1.2,-0.36436899999999994
Fulham,0.9593616,1.9659,0.9593616,1.9659,,,7.4,7.8,1.2,1.0,0.6805999999999999,0.4,0.4,0.2,1.6,-1.0065384
Wolverhampton Wanderers,1.2438547999999998,1.2260116,0.9393876000000001,1.2260116,,,4.4,7.0,1.2,1.2,1.33656,0.2,0.4,0.4,1.0,-0.28662400000000005
Brentford,2.3591128,1.4609737999999999,2.3591128,1.1565066,,,7.8,4.6,2.2,1.0,1.8580999999999999,0.6,0.2,0.2,2.0,1.2026062
Leeds,1.6516375999999997,1.4251686000000003,1.4994035999999997,1.2729346000000001,,,7.6,7.0,1.2,1.2,1.4837599999999997,0.2,0.6,0.2,1.2,0.22646899999999986
Nottingham Forest,0.9676204,1.838002,0.8153876,1.838002,,,7.2,10.8,0.8,1.6,0.8043600000000002,0.2,0.2,0.6,0.8,-1.0226144
